id_espece;nom_espece
459;CHOU-CABUS
460;CHOU-ROUGE
461;CHOU-ROUGE BIO
462;EPINARD BIO
463;BUTTERNUT
464;BUTTERNUT BIO
465;BUTTERNUT BIO
466;BUTTERNUT
467;BUTTERNUT
468;BATAVIA BLONDE
469;TOMATE
470;TOMATE BIO
471;TOMATE
472;TOMATE BIO
473;MELON
474;TOMATE CONSERVE
475;MELON
476;MACHE
477;CHENE ROUGE
478;CHENE ROUGE BIO
479;POIVRON
480;POIVRON BIO
481;LAITUE
482;AUBERGINE
483;AUBERGINE BIO
484;CONCOMBRE
485;CONCOMBRE BIO
486;CHENE ROUGE
487;CHENE ROUGE BIO
488;PORTE GREFFE
489;PORTE GREFFE BIO
490;TOMATE BIO
491;POIVRON
492;CHICOREE
493;MELON
494;MELON BIO
495;BLETTE
496;LAITUE BIO
497;BASILIC BIO
498;TOMATE
499;TOMATE
500;CHOU-FRISE BIO
501;LAITUE
502;BATAVIA BLONDE
503;ROMAINE
504;TOMATE
505;ARTICHAUT
506;ARTICHAUT BIO
507;CHOU-FRISE
508;TOMATE
509;TOMATE BIO
510;POIVRON
511;BATAVIA BLONDE
512;BATAVIA BLONDE BIO
513;CHOU-POINTU
514;CHOU-POINTU BIO
515;CHOU-FLEUR
516;COURGETTE
517;CARDE
518;CARDE BIO
519;CARDE BIO
520;CARDE
521;TOMATE
522;TOMATE BIO
523;TOMATE
524;CARDON
525;CARDON
526;TOMATE
527;TOMATE BIO
528;CHOU-FLEUR
529;CORIANDRE
530;CORIANDRE BIO
531;BETTERAVE
532;TOMATE
533;HARICOT
534;TOMATE
535;LOLLO ROUGE
536;CAROTTE BIO
537;CAROTTE
538;CAROTTE BIO
539;CAROTTE
540;POIS
541;POIS BIO
542;POIS
543;LAITUE
544;CHOU-FLEUR
545;CHOU-ROMANESCO
546;CHOU-FLEUR
547;ORIGAN
548;ORIGAN BIO
549;THYM
550;THYM BIO
551;THYM
552;THYM BIO
553;THYM
554;THYM BIO
555;THYM
556;CHENE ROUGE
557;PASTEQUE
558;COURGETTE
559;COURGETTE BIO
560;COURGETTE
561;CHOU-POINTU
562;CHOU-LISSE BIO
563;FENOUIL
564;FENOUIL BIO
565;TOMATE
566;TOMATE BIO
567;TOMATE
568;TOMATE BIO
569;ROUGETTE
570;ROUGETTE BIO
571;CHOU-FLEUR
572;COURGE
573;CELERI (ARCHIVÉ)
574;CELERI
575;CELERI A COUPER
576;CELERI A COUPER BIO
577;CELERI A COUPER BIO
578;CELERI A COUPER
579;CELERI BIO
580;CELERI BIO (ARCHIVÉ)
581;CELERI BIO
582;CELERI BRANCHE BIO
583;CELERI BRANCHE BIO
584;CELERI BRANCHE
585;CELERI BRANCHE
586;CELERI (ARCHIVÉ)
587;CELERI
588;CELERI RAVE BIO
589;CELERI RAVE BIO
590;CELERI RAVE
591;CELERI RAVE
592;CELERI BIO (ARCHIVÉ)
593;COURGETTE
594;TOMATE
595;TOMATE BIO
596;CHOU-ROMANESCO
597;CHOU-ROMANESCO BIO
598;SUCRINE
599;SUCRINE BIO
600;LAITUE
601;TOMATE
602;TOMATE BIO
603;CHOU-FLEUR
604;OIGNON
605;OIGNON BIO
606;CONCOMBRE
607;CERFEUIL
608;CERFEUIL BIO
609;CERFEUIL BIO
610;CERFEUIL
611;TOMATE
612;MELON
613;CHOU-FLEUR
614;SALADE BIO
615;CHOU-POINTU
616;CHOU-FLEUR
617;BATAVIA BLONDE
618;BLETTE
619;BLETTE BIO
620;CHOU-FLEUR
621;CHOU-LISSE
622;CHOU-FLEUR ORANGE
623;CHENE BLONDE
624;CHENE BLONDE BIO
625;CHENE BLONDE BIO
626;CHENE BLONDE
627;CHENE BLONDE
628;CHENE ROUGE
629;CHENE ROUGE BIO
630;CHENE ROUGE BIO
631;CHENE ROUGE
632;CHENE ROUGE
633;BATAVIA BLONDE
634;LAITUE
635;CHOU-BROCOLI
636;PERSIL FRISE
637;CHICOREE
638;CHICOREE BIO
639;CHICOREE BIO
640;CHICOREE
641;DIVERS BIO
642;BETTERAVE
643;BETTERAVE
644;MELON
645;CHOU
646;CHOU BIO
647;CHOU BIO
648;CHOU-BROCOLI
649;CHOU-BROCOLI BIO
650;CHOU-BROCOLI BIO
651;CHOU-BROCOLI
652;CHOU-BRUXELLES
653;CHOU-BRUXELLES BIO
654;CHOU-BRUXELLES BIO
655;CHOU-BRUXELLES
656;CHOU-CABUS
657;CHOU-CABUS BIO
658;CHOU-CABUS BIO
659;CHOU-CABUS
660;CHOU-CHINOIS
661;CHOU-CHINOIS BIO
662;CHOU-CHINOIS BIO
663;CHOU-CHINOIS
664;CHOU-CHOUCROUTE
665;CHOU-CHOUCROUTE BIO
666;CHOU-CHOUCROUTE BIO
667;CHOU-CHOUCROUTE
668;CHOU-FLEUR
669;CHOU BIO
670;CHOU-FLEUR BIO
671;CHOU-FLEUR BIO
672;CHOU-FLEUR
673;CHOU-FLEUR ORANGE
674;CHOU-FLEUR ORANGE BIO
675;CHOU-FLEUR ORANGE BIO
676;CHOU-FLEUR ORANGE
677;CHOU-FLEUR VERT
678;CHOU-FLEUR VERT BIO
679;CHOU-FLEUR VERT BIO
680;CHOU-FLEUR VERT
681;CHOU-FLEUR VIOLET
682;CHOU-FLEUR VIOLET BIO
683;CHOU-FLEUR VIOLET BIO
684;CHOU-FLEUR VIOLET
685;CHOU-FRISE
686;CHOU-FRISE BIO
687;CHOU-FRISE BIO
688;CHOU-FRISE
689;CHOU
690;CHOU-KALE
691;CHOU-KALE BIO
692;CHOU-KALE BIO
693;CHOU-KALE
694;CHOU-LISSE
695;CHOU-LISSE BIO
696;CHOU-LISSE BIO
697;CHOU-LISSE
698;CHOU-LISSE ROUGE
699;CHOU-LISSE ROUGE BIO
700;CHOU-LISSE ROUGE BIO
701;CHOU-LISSE ROUGE
702;BATAVIA BLONDE
703;CHOU-POINTU
704;CHOU-POINTU BIO
705;CHOU-POINTU BIO
706;CHOU-POINTU
707;CHOU-RAVE
708;CHOU-RAVE BIO
709;CHOU-RAVE BIO
710;CHOU-RAVE
711;CHOU-ROMANESCO
712;CHOU-ROMANESCO BIO
713;CHOU-ROMANESCO BIO
714;CHOU-ROMANESCO
715;CHOU-ROUGE
716;CHOU-ROUGE BIO
717;CHOU-ROUGE BIO
718;CHOU-ROUGE
719;CIBOULE
720;CIBOULE
721;CIBOULE BIO
722;CIBOULE BIO
723;CIBOULE
724;CIBOULETTE
725;CIBOULETTE BIO
726;CIBOULETTE BIO
727;CIBOULETTE BIO
728;CIBOULETTE
729;TOMATE
730;ARTICHAUT
731;CHOU
732;TOMATE
733;BASILIC
734;BASILIC BIO
735;CHOU-FLEUR
736;TOMATE
737;CHOU-FLEUR
738;AUBERGINE
739;AUBERGINE BIO
740;CHOU-FRISE
741;CHOU-FRISE BIO
742;AUBERGINE
743;ROMAINE
744;AUBERGINE
745;CHOU-FLEUR
746;TOMATE
747;CHOU-FLEUR ORANGE
748;PIMENT
749;CHOU-FLEUR
750;BATAVIA BLONDE
751;TOMATE
752;TOMATE BIO
753;TOMATE
754;TOMATE
755;TOMATE BIO
756;CHOU-FLEUR
757;CONCOMBRE
758;PORTE GREFFE
759;PORTE GREFFE BIO
760;TOMATE
761;TOMATE BIO
762;HARICOT
