id_uv;id_espece;nom_uv;nombre_plant_par_plateaux;nombre_graine_par_motte
211;211;Plateaux 176 Bio;176;8
212;212;Pltx 120 Bio;120;8
213;213;Pltx 150 Bio;150;8
214;214;Pltx 240 Polystyrène Bio;240;8
215;215;Pltx 240 STAMP plastique Bio;240;8
216;216;Plx 140 Bio;140;8
217;217;Plateaux 176;176;1
218;218;Pltx 140;140;1
219;219;Plateaux 176 Bio;176;1
220;220;Pltx 140 Bio;140;1
221;221;Pltx 240 Polystyrène Bio;240;1
222;222;Plateaux 176;176;1
223;223;Pltx 140;140;1
224;224;Plateaux 176 Bio;176;1
225;225;Pltx 140 Bio;140;1
226;226;Pltx 240 Polystyrène Bio;240;1
227;227;Plateaux 176;176;2
228;228;Pltx 120 écarté;120;2
229;229;Pltx 120 écarté taillé;120;2
230;230;Pltx 140;140;2
231;231;Pltx 150 écarté;150;2
232;232;Pltx 240 Polystyrène;240;2
233;233;Pltx 240 Polystyrène écarté;240;2
234;234;Pltx 240 Polystyrène écarté taillé;240;2
235;235;Pltx 240 STAMP Plastique écarté;240;2
236;236;Plateaux 176 Bio;176;2
237;237;Pltx 120 Bio écarté;120;2
238;238;Pltx 140 Bio;140;2
239;239;Pltx 240 Polystyrène Bio écarté;240;2
240;240;Plateaux 176 1G;176;1
241;241;Plateaux 176 2G;176;2
242;242;Pltx 120 écarté taillé éclairci;120;2
243;243;Pltx 120 écarté éclairci;120;2
244;244;Pltx 140 1G;140;1
245;245;Pltx 140 2G;140;2
246;246;Pltx 150 écarté taillé;150;2
247;247;Pltx 240 Polystyrène écarté taillé éclairci;240;2
248;248;Pltx 240 Polystyrène écarté éclairci;240;2
249;249;Pltx 240 STAMP Plastique écarté taillé éclairci;240;2
250;250;Pltx 240 STAMP Plastique écarté éclairci;240;2
251;251;Pltx 96 écarté taillé éclairci trié;96;2
252;252;Plateaux 176 2G Bio;176;2
253;253;Pltx 120 Bio écarté;120;1
254;254;Pltx 120 Bio écarté taillé éclairci;120;1
255;255;Pltx 120 Bio écarté éclairci;120;1
256;256;Pltx 140 2G Bio;140;2
257;257;Pltx 150 Bio écarté taillé;150;2
258;258;Pltx 240 Polystyrène Bio écarté;240;2
259;259;Pltx 240 Polystyrène Bio écarté taillé éclairci;240;2
260;260;Pltx 240 Polystyrène Bio écarté éclairci;240;2
261;261;Pltx 32 Bio repiqué;32;1
262;262;Pltx 96 Bio écarté taillé éclairci;96;1
263;263;Pltx 150 Bio;150;1
264;264;Pltx 240 Polystyrène Bio;240;1
265;265;Pltx 120 écarté;120;1
266;266;Pltx 150 écarté;150;1
267;267;Pltx 150 écarté taillé;150;1
268;268;Pltx 240 Polystyrène écarté;240;1
269;269;Pltx 32 repiqué;32;1
270;270;Pltx 32 repiqué écarté;32;1
271;271;Pltx 32 repiqué écarté taillé;32;1
272;272;Pltx 50 repiqué;50;1
273;273;Pltx 50 repiqué écarté;50;1
274;274;Pltx 50 repiqué écarté taillé;50;1
275;275;Pltx 60;60;1
276;276;Pltx 60 écarté;60;1
277;277;Pltx 96;96;1
278;278;Pltx 96 écarté;96;1
279;279;Pltx 96 écarté taillé;96;1
280;280;Pltx 120 Bio écarté;120;1
281;281;Pltx 150 Bio écarté taillé;150;1
282;282;Pltx 240 Polystyrène Bio écarté;240;1
283;283;Pltx 32 Bio repiqué écarté;32;1
284;284;Pltx 50 Bio repiqué;50;1
285;285;Pltx 50 Bio repiqué écarté;50;1
286;286;Pltx 50 Bio repiqué écarté taillé;50;1
287;287;Pltx 96 Bio écarté;96;1
288;288;Pltx 96 Bio écarté taillé;96;1
289;289;Pltx 120;120;1
290;290;Pltx 240 Polystyrène;240;1
291;291;Pltx 240 STAMP Plastique;240;1
292;292;Plateaux 176;176;1
293;293;Pltx 120 écarté;120;1
294;294;Pltx 120 écarté taillé;120;1
295;295;Pltx 150 écarté;150;1
296;296;Pltx 240 Polystyrène;240;1
297;297;Pltx 240 Polystyrène écarté;240;1
298;298;Pltx 240 Polystyrène écarté taillé;240;1
299;299;Pltx 96;96;1
300;300;Pltx 96 écarté;96;1
301;301;Pltx 96 écarté trié;96;1
302;302;Plateaux 176 Bio;176;1
303;303;Pltx 120 Bio écarté;120;1
304;304;Pltx 240 Polystyrène Bio écarté;240;1
305;305;Pltx 96 Bio écarté Trié;96;1
306;306;Pltx 96 Bio écartév;96;1
307;307;Plateaux 176;176;1
308;308;Pltx 120 écarté;120;1
309;309;Pltx 120 écarté taillé;120;1
310;310;Pltx 150 écarté;150;1
311;311;Pltx 240 Polystyrène;240;1
312;312;Pltx 240 Polystyrène écarté;240;1
313;313;Pltx 240 Polystyrène écarté taillé;240;1
314;314;Pltx 96;96;1
315;315;Pltx 96 écarté;96;1
316;316;Pltx 96 écarté trié;96;1
317;317;Pltx 150;150;1
318;318;Pltx 240 Polystyrène;240;1
319;319;Pltx 600 Bio;600;1
320;320;Plateaux 176;176;1
321;321;Plateaux 176;176;1
322;322;Pltx 120 écarté taillé;120;1
323;323;Pltx 140;140;1
324;324;Pltx 140 repiqué écarté taillé;140;1
325;325;Pltx 140 écarté taillé;140;1
326;326;Pltx 150 écarté;150;1
327;327;Pltx 240 Polystyrène écarté taillé;240;1
328;328;Pltx 240 STAMP Plastique écarté taillé;240;1
329;329;Pltx 50 repiqué écarté taillé;50;1
330;330;Pltx 600;600;1
331;331;Pltx 84 repiqué;84;1
332;332;Pltx 84 repiqué écarté taillé;84;1
333;333;Pltx 96;96;1
334;334;Pltx 96 repiqué;96;1
335;335;Pltx 120 Bio écarté taillé;120;1
336;336;Pltx 140 Bio;140;1
337;337;Pltx 140 Bio repiqué écarté taillé;140;1
338;338;Pltx 140 Bio écarté taillé;140;1
339;339;Pltx 150 BIO écarté;150;1
340;340;Pltx 240 Polystyrène Bio écarté taillé;240;1
341;341;Pltx 32 Bio repiqué;32;1
342;342;Pltx 600 Bio;600;1
343;343;Pltx 84 Bio repiqué;84;1
344;344;Pltx 84 Bio repiqué écarté taillé;84;1
345;345;Pltx 96 Bio;96;1
346;346;Plateaux 176;176;1
347;347;Pltx 120 écarté taillé;120;1
348;348;Pltx 140;140;1
349;349;Pltx 140 repiqué écarté taillé;140;1
350;350;Pltx 140 écarté taillé;140;1
351;351;Pltx 150 écarté;150;1
352;352;Pltx 240 Polystyrène écarté taillé;240;1
353;353;Pltx 240 STAMP Plastique écarté taillé;240;1
354;354;Pltx 50 repiqué écarté taillé;50;1
355;355;Pltx 600;600;1
356;356;Pltx 84 repiqué;84;1
357;357;Pltx 84 repiqué écarté taillé;84;1
358;358;Pltx 96;96;1
359;359;Pltx 96 repiqué;96;1
360;360;Plateaux 176;176;1
361;361;Pltx 120 Bio écarté taillé;120;1
362;362;Pltx 140 Bio;140;1
363;363;Pltx 140 Bio repiqué écarté taillé;140;1
364;364;Pltx 140 Bio écarté taillé;140;1
365;365;Pltx 150 BIO écarté;150;1
366;366;Pltx 240 Polystyrène Bio écarté taillé;240;1
367;367;Pltx 32 Bio repiqué;32;1
368;368;Pltx 600 Bio;600;1
369;369;Pltx 84 Bio repiqué;84;1
370;370;Pltx 84 Bio repiqué écarté taillé;84;1
371;371;Pltx 96 Bio;96;1
372;372;Plateaux 176;176;1
373;373;Pltx 120 écarté taillé;120;1
374;374;Pltx 140;140;1
